Text,Label
"আমরা কি আজ কল করতে পারি?",0
"নতুন অফার: সীমিত সময় উপলব্ধ",1
"আপনার মতামত শেয়ার করুন",0
"বিনামূল্যে কুপন নিতে এখনই সাইন আপ করুন",1
"আপনি কি আজ ব্যস্ত?",0
"ফ্রি গিফট নিশ্চিত করতে ক্লিক করুন",1
"আপনার টিমের রিপোর্ট দিন",0
"বিশেষ বোনাস: এখনই দাবি করুন",1
"লাঞ্চের সময় দেখা হবে",0
"আপনি নির্বাচিত হয়েছেন ফ্রি অফারের জন্য",1
"পরবর্তী মিটিং কখন?",0
"আজই ফ্রি ক্যাশব্যাক সংগ্রহ করুন",1
"প্রজেক্ট আপডেট পাঠান",0
"আপনার একাউন্ট ঝুঁকিতে আছে",1
"আপনি কি আগের ইমেইল পেয়েছেন?",0
"বিনামূল্যে সদস্যতা চালু করুন",1
"আপনি কি পরবর্তী সভায় আসবেন?",0
"নতুন ই-লার্নিং কোর্স পেয়ে যান",1
"আপনার মতামত দিন",0
"অভিনন্দন! আপনি নতুন পুরস্কার পেয়েছেন",1
"পরবর্তী সভার সময় কখন?",0
"আজই ফ্রি গিফট রিডিম করুন",1
"আপনার শিডিউল আপডেট করুন",0
"বিশেষ অফার: ফ্রি ওয়েবিনার জয়েন করুন",1
"আপনি কি ফাইল আপডেট করেছেন?",0
"শুধুমাত্র আপনার জন্য এক্সক্লুসিভ ফ্রি অফার",1
"আপনি কি টিম লাঞ্চে যাবেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার কাজের অগ্রগতি দিন",0
"নতুন মোবাইল জিতুন আজই",1
"পরবর্তী মিটিং কোথায়?",0
"আজই রেজিস্টার করুন, ফ্রি বোনাস নিন",1
"আপনি কি টিম মিটিংয়ে অংশ নেবেন?",0
"নতুন বোনাস পেতে অ্যাকাউন্ট যাচাই করুন",1
"আপনি কি প্রস্তুত?",0
"অভিনন্দন! আপনি ফ্রি কুপন পেয়েছেন",1
"আপনি কি আজকের মিটিংয়ে থাকবেন?",0
"এখনই ক্লিক করে পুরস্কার পান",1
"আপনার রিপোর্ট পাঠান",0
"বিশেষ অফার: দ্রুত রেজিস্টার করুন",1
"আমরা সন্ধ্যায় দেখা করবো",0
"ফ্রি ট্রায়াল এক্টিভেট করুন",1
"আপনি কি ডকুমেন্ট আপলোড করেছেন?",0
"আপনার জন্য রয়েছে ফ্রি গিফট",1
"পরবর্তী সভা কখন?",0
"আজই বিনামূল্যে অ্যাকাউন্ট খুলুন",1
"আপনি কি কাজটি শেষ করেছেন?",0
"জয় করুন আকর্ষণীয় পুরস্কার",1
"আপনার ফিডব্যাক দিন",0
"ফ্রি আপগ্রেডের জন্য এখানে ক্লিক করুন",1
"আমরা কি ফোনে কথা বলতে পারি?",0
"নতুন অফার: সীমিত সময়",1
"আপনার মতামত জানান",0
"বিনামূল্যে কুপন পেতে এখনই সাইন আপ করুন",1
"আপনি কি আজ ফ্রি?",0
"ফ্রি গিফট নিশ্চিত করতে ক্লিক করুন",1
"টিমের অগ্রগতি কেমন?",0
"বিশেষ বোনাস: এখনই গ্রহণ করুন",1
"লাঞ্চে দেখা হবে",0
"আপনি নির্বাচিত হয়েছেন এক্সক্লুসিভ অফারের জন্য",1
"পরবর্তী মিটিং কখন?",0
"আজই ফ্রি ক্যাশব্যাক পান",1
"প্রজেক্ট আপডেট দিন",0
"আপনার একাউন্ট ঝুঁকিতে",1
"আপনি কি আগের রিপোর্ট দেখেছেন?",0
"বিনামূল্যে সদস্যতা চালু করুন",1
"আপনি কি আসবেন?",0
"নতুন ই-লার্নিং কোর্স পেয়ে যান",1
"আপনার মতামত জানান",0
"অভিনন্দন! আপনি বিশেষ পুরস্কার পেয়েছেন",1
"পরবর্তী মিটিং কোথায় হবে?",0
"আজই ফ্রি গিফট রিডিম করুন",1
"আপনার শিডিউল দিন",0
"বিশেষ অফার: ফ্রি ওয়েবিনার",1
"আপনি কি ফাইল আপডেট করেছেন?",0
"এক্সক্লুসিভ: শুধু আপনার জন্য ফ্রি অফার",1
"আপনি কি লাঞ্চে যাবেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার কাজের আপডেট দিন",0
"জয় করুন নতুন স্মার্টফোন",1
"পরবর্তী মিটিংয়ের সময় কখন?",0
"আজই রেজিস্টার করুন, ফ্রি বোনাস নিন",1
"আপনি কি টিম মিটিংয়ে আসছেন?",0
"নতুন বোনাস পেতে অ্যাকাউন্ট যাচাই করুন",1
"আপনি কি প্রস্তুত?",0
"অভিনন্দন! আপনি ফ্রি পুরস্কার পেয়েছেন",1
"আপনি কি মিটিংয়ে যোগ দেবেন?",0
"এখনই বিনামূল্যে অফার ক্লেইম করুন",1
"আপনার রিপোর্টটি আপডেট করুন",0
"বিশেষ ডিসকাউন্ট: দ্রুত ক্লিক করুন",1
"আজ বিকালে দেখা হবে",0
"আপনার জন্য ফ্রি ট্রায়াল একটিভ",1
"আপনি কি ফাইলটি পাঠিয়েছেন?",0
"এই লিঙ্কে ক্লিক করে পুরস্কার পান",1
"কাল দেখা হবে",0
"ফ্রি ক্রেডিট পেতে এখনই সাইন আপ করুন",1
"আপনি কি টাস্কটি শেষ করেছেন?",0
"আজকের জন্য স্পেশাল অফার!",1
"আপনার মতামত জানান",0
"অ্যাকাউন্ট ফ্রি আপগ্রেড করুন",1
"আমরা কি কল করতে পারি?",0
"নতুন মোবাইল জিতুন, ক্লিক করুন এখানে",1
"আপনার কাজের অগ্রগতি জানাবেন",0
"সীমিত সময়ের ফ্রি অফার",1
"আপনার সাথে আলোচনা করতে চাই",0
"ফ্রি শিপিং অফার শেষ হচ্ছে",1
"আপনি কি এই টাস্ক নিতে পারবেন?",0
"বিশেষ বোনাস এখনই ক্লেইম করুন",1
"চা পান করতে আসুন",0
"আপনি নির্বাচিত হয়েছেন ফ্রি গিফটের জন্য",1
"পরবর্তী মিটিং কখন?",0
"আজই ইন্সট্যান্ট ক্যাশব্যাক পান",1
"আপনি কি এই সপ্তাহে ফ্রি?",0
"আপনার অ্যাকাউন্টে সমস্যা আছে",1
"প্রজেক্ট আপডেট শেয়ার করুন",0
"বিনামূল্যে সদস্যতা নিন",1
"আপনি প্রস্তুত তো?",0
"ফ্রি ই-লার্নিং কোর্স পান",1
"আমাদের সাথে যুক্ত হোন",0
"নতুন অফার পেয়েছেন, অভিনন্দন!",1
"আপনার মন্তব্য দিন",0
"বিশেষ গিফট বক্স আপনার জন্য",1
"মিটিং কোথায় হবে?",0
"আজই ফ্রি ওয়েবিনার জয়েন করুন",1
"আপনি কি এজেন্ডা তৈরি করেছেন?",0
"অ্যাকশন না নিলে অ্যাকাউন্ট বন্ধ হবে",1
"আপনি কি লাঞ্চে আসছেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার শিডিউল জানান",0
"নতুন ল্যাপটপ জিতুন",1
"আপনার মতামত দিন",0
"আজই ফ্রি মেম্বারশিপ পেতে ক্লিক করুন",1
"পরবর্তী সপ্তাহে দেখা হবে",0
"নতুন বোনাস পেতে এখনই রেজিস্টার করুন",1
"আপনি কি প্রস্তুত?",0
"অভিনন্দন! আপনি ফ্রি মুভি টিকিট জিতেছেন",1
"আপনি কি আজকের মিটিংয়ে অংশ নেবেন?",0
"এখনই ক্লিক করে পুরস্কার পান",1
"আপনার রিপোর্ট আপডেট করুন",0
"বিশেষ অফার: আজই আবেদন করুন",1
"আমরা আগামী শুক্রবার দেখা করবো",0
"ফ্রি ট্রায়াল শুরু করতে এখানে ক্লিক করুন",1
"আপনি কি ডকুমেন্ট তৈরি করেছেন?",0
"আপনার জন্য রয়েছে ফ্রি গিফট",1
"পরবর্তী মিটিং কখন?",0
"আজই বিনামূল্যে একাউন্ট খুলুন",1
"আপনি কি টাস্ক শেষ করেছেন?",0
"জয় করুন আকর্ষণীয় পুরস্কার",1
"আপনার মতামত জানান",0
"ফ্রি আপগ্রেডের সুযোগ নিন",1
"আমরা কি আজ আলোচনা করতে পারি?",0
"নতুন অফার সীমিত সময়ের জন্য",1
"আপনার ফিডব্যাক দিন",0
"বিনামূল্যে কুপন পেতে এখনই সাইন আপ করুন",1
"আপনি কি আজ ফ্রি?",0
"ফ্রি গিফট নিশ্চিত করতে ক্লিক করুন",1
"আপনার টিমের অবস্থা জানাবেন",0
"বিশেষ বোনাস: এখনই দাবি করুন",1
"লাঞ্চে দেখা হবে",0
"আপনি নির্বাচিত হয়েছেন এক্সক্লুসিভ অফারের জন্য",1
"পরবর্তী সভার তারিখ কী?",0
"আজই ফ্রি ক্যাশব্যাক সংগ্রহ করুন",1
"আপনি কি আগের রিপোর্ট দেখেছেন?",0
"আপনার একাউন্ট ঝুঁকিতে আছে",1
"আপনি কি নোট আপডেট করেছেন?",0
"বিনামূল্যে সদস্যতা চালু করুন",1
"আপনি কি আসবেন?",0
"নতুন ই-লার্নিং কোর্স ফ্রি পান",1
"আপনার মতামত দিন",0
"অভিনন্দন! আপনি স্পেশাল রিওয়ার্ড পেয়েছেন",1
"পরবর্তী মিটিং কোথায় হবে?",0
"আজই ফ্রি গিফট রিডিম করুন",1
"আপনার শিডিউল দিন",0
"বিশেষ অফার: ফ্রি ওয়েবিনার",1
"আপনি কি ফাইল আপডেট করেছেন?",0
"এক্সক্লুসিভ: শুধু আপনার জন্য ফ্রি অফার",1
"আপনি কি লাঞ্চে যাচ্ছেন?",0
"ফ্রি ক্রেডিট সীমিত সময়ের জন্য",1
"আপনার কাজের অগ্রগতি দিন",0
"জয় করুন একটি নতুন স্মার্টফোন",1
"পরবর্তী মিটিংয়ের সময় কখন?",0
"আজই রেজিস্টার করুন এবং ফ্রি বোনাস নিন",1
"আপনি কি টিম মিটিংয়ে আসছেন?",0
"নতুন বোনাস পেতে অ্যাকাউন্ট যাচাই করুন",1
"আপনি কি প্রস্তুত?",0
"ফ্রি হোটেল বুকিং অফার",1
"আপনি কি রিসার্চ শেষ করেছেন?",0
"অ্যাকাউন্ট ফ্রি চেকআপ করুন",1
"পরবর্তী পরিকল্পনা কী?",0
"ফ্রি গিফট কার্ড সংগ্রহ করুন",1
"আপনার টিমের রিপোর্ট দিন",0
"বিশেষ রিওয়ার্ড কুপন এখানে",1
"আপনি কি আজ অফিসে?",0
"নতুন অফার শুধুমাত্র আজকের জন্য",1
"কনফারেন্সে আসবেন?",0
"ফ্রি কন্টেন্ট ডাউনলোড করুন",1
"আপনার কমেন্ট দিন",0
